fpr,tpr
0.0,0.0
0.010101010101,0.0336192615911
0.020202020202,0.0491425407177
0.030303030303,0.0627054246062
0.040404040404,0.0830395453139
0.0505050505051,0.0973511353781
0.0606060606061,0.110812491444
0.0707070707071,0.123297819266
0.0808080808081,0.136517655204
0.0909090909091,0.149786884213
0.10101010101,0.159944488044
0.111111111111,0.174647030318
0.121212121212,0.190051410206
0.131313131313,0.204694853367
0.141414141414,0.219312189973
0.151515151515,0.233410263336
0.161616161616,0.245348878384
0.171717171717,0.255051795231
0.181818181818,0.266940385982
0.191919191919,0.279908062916
0.20202020202,0.293137438686
0.212121212121,0.306696771602
0.222222222222,0.318877507365
0.232323232323,0.329490070411
0.242424242424,0.341983161587
0.252525252525,0.352612738907
0.262626262626,0.361221132912
0.272727272727,0.375372569718
0.282828282828,0.388761959174
0.292929292929,0.404126102152
0.30303030303,0.419660958065
0.313131313131,0.430104050364
0.323232323232,0.441395571104
0.333333333333,0.45370228742
0.343434343434,0.465263260519
0.353535353535,0.477997160046
0.363636363636,0.491799471559
0.373737373737,0.505981723591
0.383838383838,0.519515576594
0.393939393939,0.530472970754
0.40404040404,0.541421578709
0.414141414141,0.550889619953
0.424242424242,0.561027137932
0.434343434343,0.571488092919
0.444444444444,0.582439512289
0.454545454545,0.592190197776
0.464646464646,0.601232974248
0.474747474747,0.611709257522
0.484848484848,0.622362709116
0.494949494949,0.632534933097
0.505050505051,0.641632522182
0.515151515152,0.650447988444
0.525252525253,0.659878571686
0.535353535354,0.667637432642
0.545454545455,0.679665907447
0.555555555556,0.690852208964
0.565656565657,0.699870853924
0.575757575758,0.707626491537
0.585858585859,0.715460480492
0.59595959596,0.725125754123
0.606060606061,0.73471502796
0.616161616162,0.743780142364
0.626262626263,0.753069548523
0.636363636364,0.761162938374
0.646464646465,0.76821650856
0.656565656566,0.776127369369
0.666666666667,0.783149818862
0.676767676768,0.789987967684
0.686868686869,0.797723828145
0.69696969697,0.806594619791
0.707070707071,0.814660856345
0.717171717172,0.823415846343
0.727272727273,0.832584416972
0.737373737374,0.84228702454
0.747474747475,0.851359227437
0.757575757576,0.860510081839
0.767676767677,0.866829577623
0.777777777778,0.876358099684
0.787878787879,0.886196619164
0.79797979798,0.894216510587
0.808080808081,0.899516660608
0.818181818182,0.905096753446
0.828282828283,0.911058998291
0.838383838384,0.915898051998
0.848484848485,0.921781916511
0.858585858586,0.928611811129
0.868686868687,0.936331884023
0.878787878788,0.943777350422
0.888888888889,0.950936024416
0.89898989899,0.957085414849
0.909090909091,0.963561238288
0.919191919192,0.968528601612
0.929292929293,0.972788849371
0.939393939394,0.978039322313
0.949494949495,0.981183028255
0.959595959596,0.985928702848
0.969696969697,0.99152614753
0.979797979798,0.994858371616
0.989898989899,0.996299332029
1.0,1.0
