fpr,tpr
0.0,0.0
0.010101010101,0.0197881530116
0.020202020202,0.0346070068372
0.030303030303,0.0559253699742
0.040404040404,0.0725503249997
0.0505050505051,0.0797187155184
0.0606060606061,0.0931395928998
0.0707070707071,0.102327527585
0.0808080808081,0.117373918233
0.0909090909091,0.139229604978
0.10101010101,0.160655437791
0.111111111111,0.168914348207
0.121212121212,0.183794510374
0.131313131313,0.19216408807
0.141414141414,0.199814837572
0.151515151515,0.207266114208
0.161616161616,0.212616431032
0.171717171717,0.231887838734
0.181818181818,0.237955453751
0.191919191919,0.254435191508
0.20202020202,0.267716069759
0.212121212121,0.279099425225
0.222222222222,0.295104150752
0.232323232323,0.311577134385
0.242424242424,0.323539628752
0.252525252525,0.332462274037
0.262626262626,0.350343448131
0.272727272727,0.368398053543
0.282828282828,0.383293353787
0.292929292929,0.393466829583
0.30303030303,0.404285157051
0.313131313131,0.408866356855
0.323232323232,0.422016630003
0.333333333333,0.433465387668
0.343434343434,0.443947396764
0.353535353535,0.452186029569
0.363636363636,0.458965842325
0.373737373737,0.470011928095
0.383838383838,0.48921213754
0.393939393939,0.504684951884
0.40404040404,0.518970241483
0.414141414141,0.535855698856
0.424242424242,0.545970817105
0.434343434343,0.560390427559
0.444444444444,0.573197350013
0.454545454545,0.582294264208
0.464646464646,0.592321049432
0.474747474747,0.604628445259
0.484848484848,0.616932838098
0.494949494949,0.622972168972
0.505050505051,0.630035249385
0.515151515152,0.639164601665
0.525252525253,0.647361068176
0.535353535354,0.65457705027
0.545454545455,0.661082564416
0.555555555556,0.671145000258
0.565656565657,0.676634373513
0.575757575758,0.683496412201
0.585858585859,0.700715619636
0.59595959596,0.717027493624
0.606060606061,0.724280376273
0.616161616162,0.733113167186
0.626262626263,0.742283125241
0.636363636364,0.746562178754
0.646464646465,0.756594280914
0.656565656566,0.76665990299
0.666666666667,0.775216803658
0.676767676768,0.78333404005
0.686868686869,0.794319699693
0.69696969697,0.804824172436
0.707070707071,0.812763537704
0.717171717172,0.820237589415
0.727272727273,0.822771458078
0.737373737374,0.831415102027
0.747474747475,0.839991857519
0.757575757576,0.843823553219
0.767676767677,0.854381381866
0.777777777778,0.861897685747
0.787878787879,0.873234926227
0.79797979798,0.881969546095
0.808080808081,0.890319498375
0.818181818182,0.897042590282
0.828282828283,0.903137975519
0.838383838384,0.908988813874
0.848484848485,0.916588596826
0.858585858586,0.923834206572
0.868686868687,0.930580485234
0.878787878788,0.935534196562
0.888888888889,0.944613790698
0.89898989899,0.949176700562
0.909090909091,0.955084818038
0.919191919192,0.963823198555
0.929292929293,0.967487033335
0.939393939394,0.974423661146
0.949494949495,0.978415321154
0.959595959596,0.98159821767
0.969696969697,0.986952887525
0.979797979798,0.993303504639
0.989898989899,0.996102325824
1.0,1.0
